,id,name,size,price,genre
0,642,PAC-MAN Premium,100788224,3.99,8
1,643,Evernote - stay organized,158578688,0.0,16
2,644,"WeatherBug - Local Weather, Radar, Maps, Alerts",100524032,0.0,23
3,645,"eBay: Best App to Buy, Sell, Save! Online Shopping",128512000,0.0,18
4,646,Bible,92774400,0.0,17
5,648,guirwqguiofgquiow,227795968,0.0,6
6,649,Pandora - Music & Radio,130242560,0.0,12
7,650,PCalc - The Best Calculator,49250304,9.99,22
8,651,Ms. PAC-MAN,70023168,3.99,8
9,652,Solitaire by MobilityWare,49618944,4.99,8
10,653,SCRABBLE Premium,227547136,7.99,8
11,654,Google – Search made just for mobile,179979264,0.0,22
12,655,Bank of America - Mobile Banking,160925696,0.0,6
13,656,FreeCell,55153664,4.99,8
14,657,TripAdvisor Hotels Flights Restaurants,207907840,0.0,21
15,658,Facebook,389879808,0.0,19
16,659,"Yelp - Nearby Restaurants, Shopping & Services",167407616,0.0,21
17,660,"Shazam - Discover music, artists, videos & lyrics",147093504,0.0,12
18,661,Crash Bandicoot Nitro Kart 3D,10735026,2.99,8
19,662,iQuran,70707916,1.99,17
20,663,:) Sudoku +,6169600,2.99,8
21,664,"Yahoo Sports - Teams, Scores, News & Highlights",130583552,0.0,20
22,665,Mileage Log | Fahrtenbuch,71203840,5.99,2
23,666,Cleartune - Chromatic Tuner,11423008,3.99,12
24,667,Lifesum – Inspiring healthy lifestyle app,188017664,0.0,9
25,668,Hangman.,4765696,0.0,8
26,669,iTranslate - Language Translator & Dictionary,287933440,0.0,16
27,670,TouchOSC,4263936,4.99,12
28,671,RadarScope,172772352,9.99,23
29,672,LinkedIn,273844224,0.0,19
30,673,Period Tracker Deluxe,40216576,1.99,9
31,674,Election 2016 Map,2386944,0.99,5
32,675,Blackjack by MobilityWare,105431040,0.0,8
33,676,White Noise,44129280,0.99,9
34,677,iHeartRadio – Free Music & Radio Stations,116443136,0.0,12
35,678,Line Rider iRide™,1646592,1.99,5
36,679,Deliveries: a package tracker,30016512,4.99,22
37,680,Hurricane Pro,29518848,2.99,23
38,681,Fieldrunners,66872320,2.99,8
39,682,Juxtaposer,45229056,2.99,15
40,683,Deezer - Listen to your Favorite Music & Playlists,127470592,0.0,12
41,684,iStellar,44241920,3.99,13
42,685,Sonos Controller,107983872,0.0,12
43,686,Avertinoo,8044544,4.99,13
44,687,Google Earth,37214208,0.0,21
45,688,iFart - The Original Fart Sounds App,60320768,1.99,5
46,689,PAC-MAN,100849664,0.0,8
47,690,FOX Sports Mobile,72748032,0.0,20
48,691,First Words Animals,32164864,1.99,8
49,692,WeatherPro,69079040,1.99,23
50,693,HotSchedules,82037760,2.99,2
51,694,Star Walk - Find Stars And Planets in Sky Above,150195200,4.99,4
52,695,"The Weather Channel: Forecast, Radar & Alerts",199734272,0.0,23
53,696,Big Day - Event Countdown,13156352,0.99,10
54,697,12 Steps AA Companion - Alcoholics Anonymous,30367744,2.99,10
55,698,OpenTable - Restaurant Reservations,93420544,0.0,7
56,699,VLC Remote,31505408,4.99,5
57,700,gFlashPro - Flashcards & Tests,25997312,3.99,4
58,701,Lose It! – Weight Loss Program and Calorie Counter,182054912,0.0,9
59,702,Target,138754048,0.0,18
60,703,Fish Tycoon,13564835,0.99,8
61,704,"Amazon App: shop, scan, compare, and read reviews",133688320,0.0,18
62,705,Touchgrind,55205888,4.99,8
63,706,ProPresenter Remote,46922752,4.99,22
64,707,iReal Pro - Music Book & Play Along,63283200,12.99,12
65,708,NRJ Radio,53426176,0.0,12
66,709,Chase Mobile℠,39505920,0.0,6
67,710,大辞林,210088960,21.99,17
68,711,Allrecipes Dinner Spinner,36399104,0.0,7
69,712,新浪新闻-阅读最新时事热门头条资讯视频,115143680,0.0,14
70,713,MotionX GPS,56481792,1.99,13
71,714,AccuWeather - Weather for Life,181941248,0.0,23
72,715,"Mint: Personal Finance, Budget, Bills & Money",162891776,0.0,6
73,716,ABC News - US & World News + Live Video,98108416,0.0,14
74,717,Rowmote: Remote Control for Mac,54088704,0.99,22
75,718,Peekaboo Barn,50155520,1.99,4
76,719,Speedtest by Ookla,23936000,0.0,22
77,720,Pocket God,145293312,0.99,5
78,721,Nike+ Training Club - Workouts & Fitness Plans,140367872,0.0,9
79,722,Citi Mobile®,281244672,0.0,6
80,723,Phase 10 Pro - Play Your Friends!,66695168,1.99,8
81,724,"Kindle – Read eBooks, Magazines & Textbooks",169747456,0.0,1
82,725,MASH,41691136,1.99,8
83,726,同花顺-炒股、股票,122886144,0.0,6
84,727,Wedding Dash Deluxe,55803904,0.99,8
85,728,Beer Pong Game,188956672,0.0,8
86,729,Tempo - Metronome with Setlists,22185984,2.99,12
87,730,Skat,66160640,3.99,8
88,731,Color Splash,28135424,0.99,15
89,732,Zombieville USA,27962441,0.99,8
90,733,Skype for iPhone,133238784,0.0,19
91,734,Tumblr,151573504,0.0,19
92,735,iSwap Faces,27069440,1.99,15
93,736,Match™ - #1 Dating App.,101259264,0.0,19
94,737,Tozzle - Toddler's favorite puzzle,168192000,2.99,8
95,738,HomeBudget with Sync,17485824,4.99,6
96,739,Wind Meter,5234688,0.99,23
97,740,Map My Run+ - GPS Running & Workout Tracker,237913088,2.99,9
98,741,Map My Ride+ - GPS Cycling & Route Tracker,233513984,2.99,9
99,742,"HuffPost - News, Politics & Entertainment",110420992,0.0,14
100,743,Phrase Party!,47774720,1.99,8
101,744,Minesweeper Classic,22259712,0.99,8
102,745,Sally's Spa,431771648,2.99,8
103,746,"CBS Sports App - Sports Scores, News, Stats, Watch",120357888,0.0,20
